2752,,
General,0.0.3,Damage Scaling will no longer affect Online Matches.
General,0.0.4,Jab Combos can now be cancelled into tilts on the same frame that they can be continued.
General,0.0.4,Jab 1s now cause a flinching animation to grounded opponents instead of knockback. This prevents Jab 1s from being tech-able when hitting a grounded opponent.
General,0.0.4,Neutral Respawns: Players now respawn in the center of the stage. This change will hopefully reduce respawning players from gimping opponents.
General,0.0.4,Up and Down Angles Adjusted on Left Control Stick. The input angles for both up and down have been increased. Hopefully now you will have to hold your controller at an angle closer to 45° to register an Up or Down rather than 30°.												
General,0.0.4,Fixed a bug causing players to lose their double jumps in specific scenarios. Players should retain their double jumps more consistently.
General,0.0.4,Fixed a bug that caused frame one of hitboxes to be incorrectly aligned.
General,0.0.6,Fixed a bug that was giving players permanent invincibility for their next stock if they died while air dodging.
General,0.0.7,You can no longer immediately air dodge when exiting a hitstun state to halt your momentum. Your character must return to a slow air speed before you can air dodge again.
General,0.0.7,Players can perform a neutral jump out of dash by quickly hitting the opposite direction during the jump squat frames.
General,0.0.7,Threshold for Down Hard Lowered slightly. It should be a bit easier to get Fast Falling and Dropping through platforms to trigger.
General,0.0.7,Fixed a bug that only allowed players to fastfall once per air time.
General,0.0.7,Tap Jump was updated on the keyboard controls to jump earlier.
General,0.0.7,Fixed a bug where Orcane and Maypul’s hurtbox was a pixel lower than the other characters.
General,0.0.7,Fixed some lingering hitbox issues including Maypul Neutral Air and Forsburn Back Air.
General,0.0.8,"- Automatic Smash DI: Moved to direction hold at the halfway point of hitpause, becoming truly automatic for multi-hit moves."
General,0.0.8,- Drift DI: Only affects Horizontal DI now. Hold left or right during hitstun to slow down or speed up your horizontal trajectory. Also weakened slightly in its power.
General,0.0.8,Traditional DI has been increased on attacks that cause “Tumble Hitstun”. The max DI angle from tumble attacks is now 28 degrees instead of 18 degrees. Examples of Tumble Hitstun are Kragg’s Down Special and Wrastor’s Down Special.
General,0.0.8,"Vertical Knockback Scaling has been reduced and knockback angles more accurately represent in-engine angles. To keep vertical attacks KOing around the same percent, many have had their scaling increased."
General,0.0.8,The Grounded Hitstun State (Knockdown) has been increased from 11 frames to 13 frames. This is prevent Jab 2 -> Jab 3 from being parryable when Jab 2 is Crouch Cancelled.
General,0.0.8,Techs are now invincible on the first frame of making contact with the ground.
General,0.0.8,The minimum horizontal speed to be able to air dodge after hitstun has been increased from 4 > 5.
General,0.0.8,Adjusted the logic for dropping through platforms to make them easier and more reliable. The drop is now immediately after triggering and the Hard Down Press has a 6 frame buffer instead of a 3 Frame Buffer.
General,0.0.8,Bug Fix: Players can now jump toward the left when facing right from a neutral jump squat.
General,0.0.8,Bug Fix: Hitboxes are now active on the first frame they are out instead of the second. This speeds up all attacks by 1 frame so we will be watching the balance to make sure that faster characters are not too difficult to handle now.
